test_id,adult_females,adult_males,juveniles,pups,subadult_males
0,17.0,5.0,19.0,6.0,5.0
1,13.0,4.0,11.0,5.0,7.0
2,59.0,6.0,29.0,34.0,7.0
3,14.0,5.0,9.0,6.0,8.0
4,15.0,5.0,9.0,8.0,5.0
5,37.0,6.0,9.0,15.0,5.0
6,12.0,5.0,9.0,8.0,4.0
7,13.0,4.0,9.0,5.0,5.0
8,12.0,5.0,10.0,6.0,5.0
9,33.0,7.0,13.0,26.0,6.0
10,14.0,5.0,10.0,5.0,5.0
11,14.0,5.0,9.0,5.0,5.0
12,13.0,6.0,7.0,10.0,6.0
13,13.0,4.0,9.0,7.0,5.0
14,28.0,11.0,13.0,35.0,7.0
15,46.0,7.0,17.0,14.0,5.0
16,49.0,8.0,12.0,24.0,5.0
17,30.0,10.0,15.0,28.0,7.0
18,14.0,5.0,11.0,5.0,5.0
19,14.0,5.0,15.0,5.0,6.0
20,23.0,8.0,9.0,18.0,5.0
21,13.0,4.0,9.0,5.0,6.0
22,21.0,8.0,16.0,10.0,6.0
23,11.0,5.0,9.0,5.0,4.0
24,38.0,8.0,95.0,18.0,8.0
25,14.0,5.0,11.0,6.0,5.0
26,11.0,5.0,9.0,5.0,5.0
27,19.0,6.0,10.0,11.0,7.0
28,14.0,5.0,10.0,5.0,6.0
29,12.0,5.0,12.0,7.0,6.0
30,20.0,6.0,10.0,9.0,4.0
31,14.0,5.0,13.0,7.0,5.0
32,25.0,6.0,8.0,34.0,6.0
33,14.0,4.0,10.0,5.0,5.0
34,13.0,5.0,9.0,5.0,5.0
35,12.0,5.0,8.0,5.0,5.0
36,24.0,6.0,12.0,6.0,5.0
37,19.0,7.0,10.0,21.0,7.0
38,14.0,5.0,10.0,7.0,6.0
39,25.0,5.0,16.0,10.0,7.0
40,19.0,6.0,14.0,11.0,5.0
41,12.0,5.0,9.0,5.0,4.0
42,13.0,5.0,9.0,5.0,5.0
43,13.0,4.0,9.0,5.0,4.0
44,14.0,5.0,11.0,5.0,5.0
45,24.0,6.0,14.0,12.0,9.0
46,14.0,5.0,8.0,5.0,4.0
47,17.0,5.0,9.0,10.0,5.0
48,26.0,5.0,15.0,22.0,6.0
49,31.0,8.0,12.0,40.0,6.0
50,27.0,6.0,13.0,13.0,6.0
51,14.0,5.0,11.0,5.0,5.0
52,17.0,5.0,12.0,5.0,5.0
53,22.0,6.0,19.0,8.0,6.0
54,23.0,8.0,15.0,9.0,5.0
55,15.0,5.0,8.0,6.0,5.0
56,24.0,6.0,46.0,11.0,7.0
57,13.0,5.0,7.0,8.0,5.0
58,54.0,9.0,23.0,28.0,11.0
59,14.0,5.0,9.0,7.0,5.0
60,15.0,6.0,15.0,6.0,4.0
61,13.0,5.0,9.0,7.0,5.0
62,21.0,7.0,21.0,8.0,6.0
