id,is_iceberg
5941774d,0.03726944
4023181e,0.63374099
b20200e4,0.32858887
e7f018bb,0.99616372
4371c8c3,0.87545416
a8d9b1fd,0.19450632
29e7727e,0.02732792
92a51ffb,0.99917173
c769ac97,0.00320641
aee0547d,0.00303233
565b28ac,0.00273140
e04e9775,0.63939161
8e8161d1,0.00326484
4cf4d256,0.58353742
139e5324,0.54185018
f156976f,0.01224872
68a117cc,0.36807385
d9aa7a56,0.24568479
9005b143,0.50059745
5f6d3988,0.84523865
9ad70954,0.53915283
b9087b9e,0.46665856
a39a1427,0.59660526
82fbe8ed,0.21836877
1fae4879,0.00044637
6dd8f13d,0.00671332
bbad5958,0.26031812
54527583,0.58308472
be8fa29c,0.63828110
81a3328f,0.99818062
1a3c0ab3,0.27480526
4deeeb8b,0.68088427
ac6d5632,0.57150870
472dadb5,0.35606300
96093f95,0.86629203
f5b4e3df,0.72614466
e01a3c92,0.07830301
001680af,0.40026543
8e639f33,0.08707612
a2c16612,0.83912732
a6d76474,0.03465725
19c47684,0.62416832
015827b6,0.35116080
7df7f7ce,0.44057790
0bbf1a3f,0.75512745
636cfbb7,0.46342725
7370030a,0.98953556
43aa97ad,0.02330770
ba2b5e63,0.99843456
dfdd335b,0.39019029
e79b13dc,0.19006451
dc32b195,0.47674205
6d868590,0.86876364
75fa59aa,0.38497443
ffe50836,0.24440579
a7bfd784,0.93705727
b3d569e3,0.11012384
6c538c5b,0.05126682
5c7c15f4,0.33341161
0b745139,0.59708844
fd14608e,0.22634986
f0bc8305,0.08069579
a10ccb28,0.99822977
543304c7,0.60681910
6c3a4078,0.00619608
9b73cc75,0.46226605
5c6c71b1,0.01039181
09ee9186,0.35452931
207c35cf,0.59020298
153c813e,0.29861029
5605d58b,0.61275477
642ca396,0.05060577
d32d72c0,0.69736792
16646a17,0.94582646
384074af,0.15187830
69bf1e8c,0.65929025
9e90a054,0.47319325
89dbe7f7,0.99244352
dbd27d22,0.46197988
a2ea1561,0.50819505
d63402af,0.38891689
1ac8bb92,0.99625340
8beffca5,0.59703642
46741f3e,0.06654419
e5ee6aa7,0.09581787
5ecd892b,0.91333537
69892166,0.00999216
2f725a81,0.10715390
810abfe4,0.01610941
e6f973e6,0.71393059
c60a5c46,0.41715162
c42b9e08,0.33221997
c3f00c23,0.35989100
5307fdb8,0.97115513
3e4f005e,0.02831317
4a4cc2e0,0.90111566
9bdd88d1,0.00031829
0d832bed,0.07151997
14a134fa,0.23532724
78a41676,0.06450947
0bd4658e,0.37915233
4a311bb0,0.53038856
f939c817,0.27420081
956adc4d,0.99908859
f8a119f5,0.83061595
61faa1ad,0.52136237
6725eb3e,0.23849122
17b3a8fd,0.15839922
49a88dfc,0.00881510
2d6ec645,0.52655906
0d4d77ba,0.50956684
3ee672a2,0.99455003
738b41fd,0.36550618
f7fb320d,0.77635600
b42fad18,0.00800868
4ab8b00a,0.63601335
f7870f2b,0.03113879
4978666a,0.89514115
f1b0d6c7,0.00961134
5642407f,0.00394516
36d4ff92,0.99173972
4139aba2,0.77234973
7585ce58,0.77175441
33e25984,0.99682487
ac46f3c9,0.17623712
fc34a5b8,0.88802062
85c36a8f,0.57058530
b2d8a426,0.12156227
13ec60d1,0.54962629
9d440f42,0.32466179
1c0a891e,0.70362118
981c3bc3,0.96201611
295604f4,0.38760541
16ca16c3,0.54512877
b4dda837,0.08990265
88d088ef,0.20666949
1b4fa160,0.41223154
f371bd82,0.20518026
b130a0b7,0.99826853
ebf1de82,0.41637905
01e651c3,0.29120861
51b1fecc,0.57277831
fa635a31,0.27657424
97b7d789,0.11640143
2f598053,0.32776710
c0e3e148,0.59903914
cfa175a8,0.18052640
3d7e09d8,0.71387853
44a13d1b,0.92697262
c66b0948,0.59492128
976a6d64,0.01330825
8bbd8909,0.93254751
522890fd,0.63153125
f23a3b95,0.51393363
680039dc,0.55656117
93028e53,0.31437339
22a16932,0.52758015
7d8126d2,0.01396535
ba2ecd75,0.00324099
8071bdd7,0.43070123
96d5aeee,0.00082694
154be68f,0.63647067
d8c2bfe2,0.97387654
f76d47b0,0.64910007
0e781ade,0.03108539
13cf6060,0.00403147
cd99f710,0.60329160
d10005bb,0.04100972
3a31445f,0.98988813
3157202d,0.33397727
6ee64703,0.43383901
e5de8685,0.28776510
02cc70ba,0.07226858
50984a87,0.62183529
fa94957a,0.96270889
eab406b4,0.62406041
3ad39398,0.80406082
9ecf3802,0.33731170
6048ae7b,0.01032309
9dc68871,0.00190089
13701465,0.20354269
8d8779f3,0.02939887
0712f269,0.54193955
722c2597,0.00763073
478a2b08,0.66743509
38f5fb41,0.60300393
c52ad74d,0.99765943
0c85fd09,0.00656486
f1582cba,0.64694452
ff836697,0.75377289
ddfe4802,0.31278692
3cef3bc7,0.97608332
6a21542b,0.46574764
150e23c4,0.99743844
078c6d99,0.84174679
1dcd1dc3,0.06815867
39967e45,0.50219278
6b6333aa,0.28743066
4ae61433,0.47505558
f96362e0,0.03812809
97a88aac,0.17734312
427ae8ce,0.33225581
209d4b15,0.13192327
64b453bd,0.00158967
0f5a484e,0.43577970
5ac74969,0.67230763
736ed43e,0.50466780
8533795f,0.20623976
f5b54fb6,0.50258244
6eb4c041,0.60014945
97afdf42,0.78074509
1bb488db,0.39129410
f132e44d,0.33126473
d3c2f140,0.32921635
1756794d,0.69905369
9efcc11f,0.00146527
14c966cf,0.92600525
59cfe4d1,0.51971043
883151f4,0.32580069
34c4c9ff,0.37490924
70b4c2eb,0.55567584
96a337d9,0.58653693
7fe89ffa,0.45291923
057c7a22,0.00051331
451cc057,0.30368064
05076700,0.00156700
dc52f6c1,0.33409808
b03a59f9,0.22246309
129ed4b0,0.57266819
fb611563,0.99181600
ac32e6f1,0.46903527
c05c5ab0,0.44868325
3163d5ed,0.34914911
02096ca4,0.38486880
e92496c0,0.31352656
1a9e2c50,0.99228544
0864e334,0.58568894
d976faeb,0.54438997
1d7b342f,0.29652808
281bc1ea,0.00079442
bea9f0cf,0.55708750
f4afa0e6,0.00032047
e1b5ef69,0.53017248
b50539fd,0.55762623
2a8c9c15,0.85652493
157ebb0c,0.96072779
247d3614,0.00894350
0c6cc0cb,0.53854785
aae88d39,0.04063217
0c77b464,0.17641831
963cf5ea,0.68729819
1b371d8b,0.58486560
225bc00f,0.01126392
bc0a4eec,0.51384750
1099782e,0.36751890
a18feadd,0.92364962
ad7f4932,0.32376134
5f8f831e,0.43109355
b5167c35,0.24570848
0230b06d,0.50100449
f8d7f7ba,0.32505175
08bd1053,0.49342933
58e4dc8c,0.00645283
4793ce8e,0.47803548
304caab4,0.00091159
f2ee6d7f,0.75287774
e1f9c0e4,0.32207952
8e40401c,0.37510375
5d9eaba2,0.57333098
55e7562c,0.33803899
9da6cb4b,0.03361515
c3c1c8ec,0.02225708
3b38698e,0.33306264
6c9eb909,0.29240306
482a3d1d,0.16199202
0e9918f0,0.83748633
ef894fd2,0.00450087
4b82e7f7,0.99506841
b9cdd7fb,0.01119992
94a496f4,0.48651250
995eacae,0.50608065
41b02e58,0.99580028
69f04617,0.64543856
c889a03c,0.99773706
91f98acf,0.99402207
9135c19f,0.98368152
1f0e9c09,0.00175915
260d6e8e,0.01095430
46334397,0.00276519
f34ddf31,0.32489243
4d6177d7,0.51262860
76a57270,0.78154411
217b8cea,0.26258006
9a45a566,0.27763714
1b55c75e,0.00044717
7bd92ec6,0.80586236
6c409f41,0.54180506
df3e48eb,0.33710329
62723e57,0.01197625
b8e627bf,0.13684509
86bb5d85,0.32831949
77e5034c,0.42844510
607079e5,0.75641992
96879fb4,0.04327495
6afe606d,0.65208715
4129802f,0.53688369
a42300ef,0.28961953
1af842f5,0.83197851
3fe57d78,0.80881535
f4e60ed5,0.98375233
68c8337b,0.36291155
914ed5b5,0.47360515
a6bb5987,0.91146016
c781c439,0.33906821
47a1a25e,0.34433621
80ea0713,0.87681754
a9d001bc,0.32467816
f94d098a,0.34523287
3e230e0e,0.56873458
24afa485,0.00657795
bc37db7f,0.53378232
83f99e4d,0.00180734
1a8d86f7,0.00662354
38136419,0.47867074
d393e637,0.67109076
36902570,0.90363483
327f7b25,0.98578660
3f8543c6,0.58817243
a0d42a70,0.44967426
e07ba430,0.33490635
c6e53803,0.61650157
fec4dad8,0.35715016
933fc5ba,0.59043666
c27eda4e,0.98506287
9b94d2c2,0.00283484
a2dbdb31,0.33790689
816258dd,0.55661898
81f11218,0.31663985
c4bd9d04,0.57895615
c6ce9bf9,0.36249877
a7b3cc29,0.10966735
527870bf,0.56200937
9af26068,0.99443469
0b591e70,0.99511500
2b1e57c5,0.13052251
194db786,0.34820776
e09ba644,0.99833060
fa2ed3e5,0.98959211
1ba92726,0.34402539
8c8f45b4,0.00474956
f8889f44,0.31529525
598e255b,0.57650120
45f1aa7a,0.61136770
022956a3,0.30298036
d406064d,0.64054823
76617947,0.00568257
d0e5dccb,0.82436449
33271da6,0.31519884
0840e2b1,0.48041610
521a9f4d,0.61053960
7286b1dc,0.69475668
5b6acc2d,0.57149050
e034cd34,0.00315880
46577660,0.33131295
bb4d6f24,0.60610776
bfc7a3f2,0.61680490
abc66be8,0.03778414
3627189f,0.99506369
e49a77f6,0.22763150
a209d7ee,0.59130183
dee69cf6,0.53246559
9a6261a0,0.29227777
a8e444c6,0.04833410
a6a66a28,0.99867321
db7022ff,0.00607010
0dfb45d9,0.78024112
81c983aa,0.01166139
a98fb5e1,0.97595655
99e004d7,0.35895059
d16e5fbb,0.53955405
3c352f9e,0.34995787
12202699,0.31003015
86af0236,0.63547722
f3703e6f,0.74537589
4a71dc34,0.46672217
321edcdc,0.31228778
e365a657,0.27420152
45755c9c,0.31414078
873b0829,0.48084119
72ccd009,0.27606020
205243d9,0.89584152
d9202f36,0.56879538
9d0c30b0,0.35906206
56644ace,0.04241808
c63f527f,0.36509709
bb84b9bd,0.94766773
6f68caf0,0.51547442
8492119b,0.03770113
71bde48d,0.98577369
d2d6e2ba,0.38854096
6f4b309c,0.46810796
b3cc5ba3,0.41475618
fee39547,0.81311989
4893137a,0.96474588
e283c4c4,0.32125014
25bac62b,0.69216333
8fd88dd6,0.00168426
b48c104e,0.22917701
221d500b,0.35096391
8f0de087,0.16144050
32342e03,0.26492323
a8da99d8,0.03167984
93203755,0.95622090
d3c88528,0.98568565
0d7a17b3,0.32519394
bd72f5ec,0.99956803
e953c0fd,0.62278376
e730b6c6,0.81100866
c086033a,0.10403381
a521d303,0.00387316
b023957a,0.48134599
3e0f04e8,0.37071415
60647cba,0.00499174
2f5c43a8,0.48481013
b54ba69b,0.70080220
eac962ff,0.70439100
7e2a3763,0.00281130
9362d863,0.03406204
8f1b833c,0.71405162
79727ff5,0.02882499
62614c75,0.81929339
75a03adf,0.47495324
cf138392,0.48530931
bf467a96,0.16029547
c8b34651,0.86086819
105a5c54,0.24510437
bf6de75c,0.34067669
060702c8,0.99327034
921bad2c,0.96446904
e0d17eb0,0.51239678
9a3825c9,0.73770966
8eda717f,0.00480716
78906e0c,0.99970937
c60100ad,0.91815689
90a72a52,0.62779870
d80e4ed4,0.44363297
339cd0d2,0.29470281
d99de899,0.44034507
357e20d1,0.02919883
a4d190da,0.37546966
bd226217,0.29497173
476e2771,0.98736799
4e483506,0.36827041
f70ea081,0.97622522
4645e56f,0.99094363
e6d05940,0.71249990
f8b3c6af,0.99092903
c89d6aad,0.61702069
0cb57f6e,0.65726145
86a4be46,0.32555359
75e62d7e,0.02524772
ebc36374,0.33385139
0ebcb731,0.85230661
24d000c5,0.09438071
f3c9a4f6,0.88064353
1bc59730,0.04517838
47ea0bff,0.31071136
cdeccfdd,0.37998956
15e09a1d,0.49786842
00652788,0.56141266
23649c84,0.27521662
91188a77,0.07654906
eaca8580,0.45942703
4ce9daeb,0.60075932
d4220673,0.76715130
b6a87aef,0.16330880
8333ebed,0.42139045
950a3453,0.31085674
7074f6c9,0.55887679
98a02caf,0.00350491
59c8d2b3,0.98102604
d99d13bd,0.96439906
de86f1cf,0.99791213
8f4b1985,0.98630001
a7779b04,0.58270907
2caeab11,0.61177584
16aeea7c,0.36411390
b9d19ab9,0.79517437
29c5d2fd,0.99873157
efcefa55,0.68354686
099161c3,0.82999518
12b49195,0.32536077
96a1ce13,0.97552400
67964b4f,0.00346913
b61c605c,0.04418513
bcfc0f16,0.02086942
bf0cb956,0.07872426
12f6aa7d,0.13684351
f36f3a0c,0.34073659
83490492,0.29134273
e3b62b60,0.40960317
20b27d66,0.99706066
25c3ce93,0.53302759
67a2ff0b,0.64892037
9b2d3c1a,0.99515436
8ad51f7d,0.00649724
14137b57,0.60118646
9ea5aa79,0.21458879
5ea1d2dd,0.34302192
979c867e,0.80871257
7ea1e1b6,0.16817761
d65520ba,0.33401036
765ad2e2,0.62070947
d2957326,0.81161545
24349e24,0.04302195
fd8a2ae3,0.10205237
b282d98e,0.68536181
3eaa7a61,0.32356981
16533dd4,0.24514737
4adb68d7,0.99661578
565005b9,0.28881408
51d86e0c,0.99772209
30635642,0.00101465
d9480a60,0.27533599
b2647128,0.43688380
20478c55,0.99477502
caa0d105,0.13707508
474f4534,0.17035650
d51e3867,0.87245354
e5d1bba7,0.68886960
e7000b2a,0.05473112
78f06b79,0.00311504
8a9f4bee,0.99638604
3d716bbe,0.71258368
6e1ddef1,0.32655904
9826f39a,0.33960392
3fdc82f7,0.74999489
31f013c3,0.45005776
97a9df6d,0.61253979
10e65294,0.65830082
0bdca1a5,0.25109733
374037fa,0.41515905
1d1a0cec,0.50887567
d415c5ad,0.38411542
ced1306d,0.05745907
f43497f3,0.55260652
ffd13a9e,0.99861618
6f67148e,0.52004531
be322b68,0.47721750
af209b44,0.08976671
69b53a4a,0.87151157
4c085180,0.45889986
608cea18,0.56616279
f8bebbfd,0.14128077
ae16855d,0.01280342
dfc700b3,0.81659257
e3bdd9ac,0.98586299
87a8ea20,0.28292843
3c3da9aa,0.63617043
76c882d6,0.00406317
9e429645,0.79438084
7dc9c990,0.00109234
f38d53ef,0.08026538
e1785b6e,0.29060781
80c673fb,0.72740445
a8b8c20b,0.71890820
6a1ff150,0.77310172
2f68d4fe,0.41493630
c462ec65,0.99656556
c374d5c4,0.79765447
d20769b3,0.58212414
c467fe4d,0.18292992
1356229e,0.42352399
b1532127,0.00731494
3777ee22,0.97875053
4ba6023f,0.98174248
08504ae6,0.05823066
5e0b4cc5,0.31819879
249a0c1f,0.98102000
24b3497f,0.33948322
9edcf494,0.27660160
53297290,0.20172161
6d3a269e,0.99344034
1b0d38fc,0.00572041
02747427,0.35063978
38867253,0.69811274
c392dbd0,0.73741203
8939734c,0.01818939
097ba3af,0.00047979
30f0f835,0.62821780
bdab1bcf,0.56663707
1070a984,0.90254887
c41b8a90,0.93757999
86a3b5cc,0.39413065
d0a3719e,0.50027007
b1a8067b,0.27647090
911bc6aa,0.39056874
67a2d0ac,0.30803570
11447262,0.34526632
12fd1375,0.01742271
f2898538,0.57106280
0e7355e2,0.00253185
bc2c87c8,0.99627102
94001156,0.03424910
d5855224,0.40532606
a3c1a552,0.13881962
edcf54fa,0.45730821
a28b90eb,0.78346377
63cd028f,0.09981123
dbc79657,0.00640149
bc856bf1,0.35856423
c7e25a70,0.56044520
9771b119,0.02785309
836db0d9,0.02223436
f5685d3e,0.84530198
bb04299d,0.62429548
163a9d23,0.34840986
5283c614,0.00040644
2276d5d8,0.40288681
ccb77e34,0.09410980
d4a75bf3,0.17219098
e15f46ea,0.41829032
992a45ba,0.52207885
056e7768,0.00070412
a1dc016b,0.29336305
38db82cd,0.00398635
3295f3ae,0.28508218
a6ff3660,0.32220234
5981b799,0.99474810
2636d79d,0.30323453
7a8521e2,0.07396938
9b53021d,0.33809078
0a37be18,0.97111286
a8676e55,0.99844773
3488b8fc,0.34582904
b86d4006,0.54898840
33888635,0.99764781
aa9ca5f9,0.14882269
08faf0f6,0.00275605
5320cd26,0.00141814
2c57fdaa,0.71316022
d467ce62,0.56545630
888a568e,0.98606698
88d6c838,0.91872306
8f138517,0.46155273
e1108dc0,0.06513555
9e9cd6c9,0.02086963
ab893af4,0.32151545
4d4b30ba,0.78026952
7ce15e26,0.29735246
dbc45500,0.00079941
6a0cde3f,0.27533679
2658014c,0.55670127
08d20604,0.00483809
03c83dc9,0.31863069
d741ccd1,0.31501862
992d48b6,0.00236731
b1ea3253,0.94735573
da379e69,0.26831642
73b429af,0.99193348
2aefe712,0.99829269
1e3634f9,0.99584113
069ee09e,0.00392280
a7970f81,0.00029052
23084d2e,0.00994089
ac57710a,0.91682482
02553267,0.30870196
0971c6c7,0.33010886
cdb7f1fe,0.44528704
d3af3f60,0.43502900
59daf44b,0.72080235
c2169934,0.89507860
da03b56e,0.54183314
474ea404,0.49084911
f686cdc4,0.48020636
f865b354,0.51347768
106df554,0.63498198
e5637171,0.48784224
cba8985c,0.01362668
cc09c9ce,0.25888786
0b85b33f,0.87494191
92f20625,0.98457736
6b1379dd,0.90302563
ed2b1df1,0.18817181
325124e4,0.05691330
7455c944,0.27686148
fd68ccc1,0.50372260
8df9100d,0.68656277
c406df9b,0.03950507
4978870c,0.00646954
383f95d6,0.49221860
aba96bbf,0.00133142
6bba66b4,0.58032503
b86fa0c9,0.36372116
a2abc369,0.23790914
0b40c014,0.32822333
d45add48,0.44605571
00193999,0.61895715
c2f1b710,0.54240772
53750c72,0.01924340
3137ef1d,0.69217996
bc6b8e2a,0.25425584
7cb546c6,0.98547161
d59a2349,0.27303574
04d04b9a,0.30233476
05ac1343,0.04431401
2917895f,0.00392981
342a1d01,0.71147619
78309e4b,0.48179865
5c1a5aba,0.00341313
fae57f79,0.33532862
23821d71,0.68371726
5780b19d,0.07379558
11c67865,0.77823794
8564f114,0.62906285
ec7d0fdd,0.72330702
9a0446b8,0.16574621
5f5da69d,0.53388420
7a11839b,0.69337159
763c9bbf,0.00202476
15a7b5c5,0.00439557
e9c7e251,0.17460020
2555c207,0.34450375
ec8d9784,0.05775183
08fd9d10,0.43959848
9504ae29,0.02383609
0b91a24d,0.83294330
e62e6cfe,0.87297102
5d1291bb,0.51425336
b3c1f2e7,0.31209034
c6a8db21,0.02700119
f2c137fd,0.77862980
b61e8155,0.36632277
45b9ee35,0.17496113
8fe9c49b,0.07554428
b98ceb09,0.01182014
70c4a435,0.55050385
d953d111,0.72340609
da7de86e,0.70235249
519f8611,0.75750286
75eefdc3,0.37263939
62412092,0.88084413
de8ec010,0.31940801
ee6121f8,0.56624523
412b66e0,0.44642668
7405c131,0.60559668
efff4306,0.62612680
5658d679,0.34348315
617f88fc,0.00801829
a120100b,0.23557200
0971369e,0.98874148
83f7fe7b,0.54824373
12437da1,0.00341873
8e7f96a5,0.40728791
a08237de,0.00431066
a013bd6f,0.30981794
c6fdd404,0.72659017
317e2af4,0.67270854
dd9878c0,0.45183033
42e76a51,0.99964569
022f77e3,0.35802696
cada3682,0.99098556
53074f1f,0.59579227
e6c19679,0.39504239
dfb69b8b,0.27241123
e1572941,0.38377945
8d549cd2,0.17996112
6913594d,0.63814953
6e528fd6,0.24881864
c8b037c7,0.00165053
c3b6c880,0.29491897
9684ac04,0.01133342
6d974acc,0.48971113
57b10462,0.75671438
b2373298,0.01352033
8e946e10,0.86298687
6acee7de,0.61154890
8ad7cc2f,0.00090644
8e6e087e,0.30845698
c3e46df5,0.31522621
f6983f34,0.68846228
