id,is_iceberg
5941774d,0.094676
4023181e,0.952222
b20200e4,0.167771
e7f018bb,0.989356
4371c8c3,0.900321
a8d9b1fd,0.422845
29e7727e,0.004942
92a51ffb,0.997785
c769ac97,0.002571
aee0547d,0.001068
565b28ac,0.000829
e04e9775,0.987408
8e8161d1,0.009099
4cf4d256,0.953935
139e5324,0.901583
f156976f,0.010479
68a117cc,0.996200
d9aa7a56,0.520733
9005b143,0.751856
5f6d3988,0.991422
9ad70954,0.845592
b9087b9e,0.568693
a39a1427,0.957332
82fbe8ed,0.178720
1fae4879,0.001048
6dd8f13d,0.018499
bbad5958,0.580311
54527583,0.978513
be8fa29c,0.997370
81a3328f,0.996042
1a3c0ab3,0.012371
4deeeb8b,0.992670
ac6d5632,0.990877
472dadb5,0.980795
96093f95,0.946166
f5b4e3df,0.997216
e01a3c92,0.204891
001680af,0.991595
8e639f33,0.047650
a2c16612,0.945740
a6d76474,0.103937
19c47684,0.988410
015827b6,0.240264
7df7f7ce,0.498394
0bbf1a3f,0.990516
636cfbb7,0.427228
7370030a,0.982137
43aa97ad,0.068172
ba2b5e63,0.996358
dfdd335b,0.871727
e79b13dc,0.573773
dc32b195,0.977740
6d868590,0.968711
75fa59aa,0.991246
ffe50836,0.243987
a7bfd784,0.978861
b3d569e3,0.065346
6c538c5b,0.124869
5c7c15f4,0.189534
0b745139,0.972965
fd14608e,0.254133
f0bc8305,0.059597
a10ccb28,0.997808
543304c7,0.993536
6c3a4078,0.000335
9b73cc75,0.533464
5c6c71b1,0.028835
09ee9186,0.934494
207c35cf,0.978760
153c813e,0.084622
5605d58b,0.993775
642ca396,0.016707
d32d72c0,0.986790
16646a17,0.986683
384074af,0.387835
69bf1e8c,0.942325
9e90a054,0.960904
89dbe7f7,0.998794
dbd27d22,0.888685
a2ea1561,0.627711
d63402af,0.432043
1ac8bb92,0.989842
8beffca5,0.985418
46741f3e,0.193498
e5ee6aa7,0.276612
5ecd892b,0.960839
69892166,0.001797
2f725a81,0.164484
810abfe4,0.047266
e6f973e6,0.978871
c60a5c46,0.976545
c42b9e08,0.038541
c3f00c23,0.258268
5307fdb8,0.972949
3e4f005e,0.031883
4a4cc2e0,0.912252
9bdd88d1,0.000856
0d832bed,0.012877
14a134fa,0.710600
78a41676,0.193322
0bd4658e,0.993714
4a311bb0,0.971564
f939c817,0.549287
956adc4d,0.997951
f8a119f5,0.978257
61faa1ad,0.986415
6725eb3e,0.654320
17b3a8fd,0.478195
